time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-04-04T11:05:16.190Z,36.926,37.046,8.4,4,mb,51,68.8,,,us,usp000jh80,2014-11-07T01:47:26.029Z,"Turkey-Syria border region",earthquake
2012-03-13T10:44:48.780Z,35.327,31.407,9.4,4.4,mb,86,86.9,,,us,usp000jg5z,2014-11-07T01:47:14.199Z,"Cyprus region",earthquake
2012-03-09T20:52:56.260Z,34.752,32.453,41.9,4.1,mb,76,68.1,,1.13,us,usp000jg0e,2014-11-07T01:47:13.151Z,"Cyprus region",earthquake
2012-02-16T02:15:11.160Z,29.867,30.561,10,4.3,mb,46,178.8,,0.82,us,usp000jf00,2014-11-07T01:47:01.769Z,"Egypt",earthquake
2012-01-30T17:04:28.770Z,27.787,33.985,28.4,4.6,mb,81,58.1,,0.9,us,usp000je6a,2014-11-07T01:46:51.959Z,"Egypt",earthquake
2012-01-12T00:26:32.820Z,36.077,31.104,65.9,4.5,mb,106,84.6,,1.05,us,usp000jdcd,2014-11-07T01:46:46.336Z,"western Turkey",earthquake
2011-11-19T07:12:15.670Z,27.768,34.077,10,4.5,mb,51,70.9,,1.12,us,usp000jb3p,2014-11-07T01:46:22.827Z,"Red Sea",earthquake
2011-10-15T08:27:02.700Z,35.48,30.14,19,3.7,ml,28,92.6,,,us,usp000j9cc,2014-11-07T01:46:06.870Z,"eastern Mediterranean Sea",earthquake
2011-10-12T20:51:35.440Z,35.57,30.182,49.9,4.4,mb,88,51.3,,1.12,us,usp000j997,2014-11-07T01:46:06.259Z,"eastern Mediterranean Sea",earthquake
2011-09-07T13:30:18.840Z,37.381,36.33,6.8,4.2,mb,20,83.9,,,us,usp000j7rh,2014-11-07T01:45:51.214Z,"central Turkey",earthquake
2011-09-04T17:41:18.000Z,35.737,31.146,9.3,4.4,ml,60,112.2,,,us,usp000j7ky,2014-11-07T01:45:50.124Z,"Cyprus region",earthquake
2011-08-10T19:31:34.930Z,35.875,30.071,22.8,4,ml,40,139.2,,,us,usp000j697,2014-11-07T01:45:35.322Z,"eastern Mediterranean Sea",earthquake
2011-08-07T08:52:28.000Z,32.566,34.47,31,4.1,mb,45,73.1,,,us,usp000j64m,2014-11-07T01:45:34.679Z,"Dead Sea region",earthquake
2011-06-29T19:48:05.610Z,37.412,35.875,5.5,4.5,mb,58,51.1,,,us,usp000j3yg,2014-11-07T01:45:11.800Z,"central Turkey",earthquake
2011-06-22T23:43:15.480Z,26.802,34.994,10,4.3,mb,33,162.2,,1.14,us,usp000j3kc,2014-11-07T01:45:09.175Z,"Red Sea",earthquake
2011-06-15T11:32:03.310Z,34.372,32.904,1,4,ml,24,81.8,,,us,usp000j373,2014-11-07T01:45:05.942Z,"Cyprus region",earthquake
2011-04-23T05:22:11.060Z,37.47,35.584,10.4,4.5,mb,48,61.6,,,us,usp000j0ek,2014-11-07T01:44:36.631Z,"central Turkey",earthquake
