Cat,Year,Mo.,Da.,Hr.,Min.,Sec.,Latitude,Longitude,depth,mag_magtype,provider,mag_magtype,provider,Mw_source
ANK,1952,12,31,17,18,50,35.59,25.92,40,5.70UK,ANK,,,5.70ANK
ANK,1953,7,22,15,9,37,39.24,28.43,10,5.60UK,ANK,,,5.60ANK
ANK,1953,9,7,3,59,4,41.09,33.01,40,6.40UK,ANK,,,6.40ANK
ANK,1955,6,2,23,34,37,40.35,25.71,10,5.70UK,ANK,,,5.70ANK
ANK,1955,7,16,7,7,17,37.65,27.26,40,7.00UK,ANK,,,7.00ANK
ANK,1956,1,6,12,15,44,40.39,26.29,10,5.70UK,ANK,,,5.70ANK
ANK,1956,2,20,20,31,43,39.89,30.49,40,6.40UK,ANK,,,6.40ANK
ANK,1956,7,30,9,15,,35.89,26.01,10,6.20UK,ANK,,,6.20ANK
ANK,1956,9,6,11,46,41,35.62,25.9,40,5.80UK,ANK,,,5.80ANK
ANK,1958,5,9,2,40,53,36.51,27.67,50,5.50UK,ANK,,,5.50ANK
ANK,1959,12,8,13,34,6,41.24,43.96,60,5.90UK,ANK,,,5.90ANK
ANK,1960,1,26,9,52,15,40.19,38.75,20,5.90UK,ANK,,,5.90ANK
ANK,1961,1,7,10,30,55,35.42,26.14,80,5.50UK,ANK,,,5.50ANK
ANK,1961,5,23,2,45,22,36.7,28.49,70,6.60UK,ANK,,,6.60ANK
ANK,1962,4,28,11,19,,36.03,26.87,50,6.00UK,ANK,,,6.00ANK
BDA,1905,10,21,11,1,37,42,42,60,7.50UK,BDA,,,7.30BDA
BDA,1914,10,3,22,6,34,38,30,60,7.70UK,BDA,,,7.40BDA
BDA,1916,1,24,6,55,7,41,37,60,7.80UK,BDA,,,7.50BDA
EUR,1901,9,12,6,15,,39,22.2,24,5.60UK,KRK,,,5.60KRK
EUR,1902,4,11,18,35,,38.5,23.5,24,5.80UK,KRK,,,5.80KRK
EUR,1902,7,5,14,56,,40.8,23.2,22,6.60UK,KRK,,,6.60KRK
EUR,1902,8,2,5,38,,38.5,21.8,20,5.60UK,KRK,,,5.60KRK
EUR,1902,10,25,21,44,,43.1,18.5,32,5.50UK,KRK,,,5.50KRK
EUR,1903,3,15,19,3,,37.8,21.2,18,5.70UK,KRK,,,5.70KRK
EUR,1903,3,25,22,30,,36,25,100,5.50UK,KRK,,,5.50KRK
EUR,1903,4,4,,,,39,28,20,5.50UK,KRK,,,5.50KRK
EUR,1903,5,28,3,58,,41.1,42.7,33,5.70UK,KRK,,,5.70KRK
EUR,1903,7,21,13,3,,38.2,21.8,20,5.60UK,KRK,,,5.60KRK
EUR,1903,9,19,18,51,,37.8,22.8,20,6.00UK,KRK,,,6.00KRK
EUR,1904,7,5,21,54,,41,49,33,5.50UK,KRK,,,5.50KRK
EUR,1905,11,5,22,,,40.7,23,15,5.50UK,KRK,,,5.50KRK
EUR,1905,11,8,22,6,,40,24,33,7.50UK,KRK,,,7.50KRK
EUR,1906,3,1,17,45,,41.1,20,15,6.50UK,KRK,,,6.50KRK
EUR,1907,1,19,22,11,,40.8,46.1,33,5.50UK,KRK,,,5.50KRK
EUR,1907,2,2,9,4,54,33,18.4,33,5.80UK,KRK,,,5.80KRK
EUR,1907,8,21,,,,40.7,30.1,33,5.50UK,KRK,,,5.50KRK
EUR,1908,12,10,4,40,,42.3,43,33,5.50UK,KRK,,,5.50KRK
EUR,1909,1,19,4,57,,38,26.5,60,6.00UK,KRK,,,6.00KRK
EUR,1909,2,22,14,14,,39,37,33,5.70UK,KRK,,,5.70KRK
EUR,1911,4,4,15,43,54,36.5,25.5,140,7.20UK,KRK,,,7.20KRK
EUR,1912,1,24,16,23,6,38,20.5,60,7.00UK,KRK,,,7.00KRK
EUR,1912,9,16,21,4,,40,24,15,5.50UK,KRK,,,5.50KRK
EUR,1913,5,10,13,39,,36,22,15,5.50UK,KRK,,,5.50KRK
EUR,1914,5,28,11,27,18,39.7,36,33,5.60UK,KRK,,,5.60KRK
EUR,1915,2,14,8,20,6,38.8,42.5,33,5.60UK,KRK,,,5.60KRK
EUR,1916,7,27,3,6,,36.5,25.8,140,5.50UK,KRK,,,5.50KRK
EUR,1918,1,20,2,36,,39,23,150,5.70UK,KRK,,,5.70KRK
EUR,1918,4,25,2,22,35,34.5,41.8,33,5.70UK,KRK,,,5.70KRK
EUR,1918,7,16,20,3,46,35.5,25.5,150,7.00UK,KRK,,,7.00KRK
EUR,1918,8,29,6,39,25,41.6,35.7,33,5.70UK,KRK,,,5.70KRK
EUR,1918,9,23,2,13,,36,28,150,5.60UK,KRK,,,5.60KRK
EUR,1919,2,24,1,56,,36.7,21,25,6.40Ms,TRI,,,6.40TRI
EUR,1919,6,9,7,13,40,40.7,34.1,33,6.00UK,KRK,,,6.00KRK
EUR,1919,6,9,15,47,15,40.7,34.1,33,5.50UK,KRK,,,5.50KRK
EUR,1919,11,27,,,,39.2,27.2,30,6.00UK,KRK,,,6.00KRK
EUR,1920,2,20,11,45,,42,44.1,10,6.20UK,KRK,,,6.20KRK
EUR,1921,1,16,23,55,48,38.8,32.9,33,5.70UK,KRK,,,5.70KRK
EUR,1921,9,26,9,25,55,39.3,33.2,33,5.80UK,KRK,,,5.80KRK
EUR,1921,10,5,19,9,46,36.4,35.2,33,5.50UK,KRK,,,5.50KRK
EUR,1922,4,11,4,35,10,40.5,19.2,25,5.60Ms,TRI,,,5.60TRI
EUR,1922,8,29,3,36,,38,33.5,33,5.60UK,KRK,,,5.60KRK
EUR,1922,11,11,22,13,,37.5,23,100,5.70UK,KRK,,,5.70KRK
EUR,1923,3,10,19,48,40,34.5,27.5,33,5.60UK,KRK,,,5.60KRK
EUR,1923,8,1,8,16,30,35,25,150,6.90UK,TRI,,,6.90TRI
EUR,1924,1,22,11,4,50,39.3,33.2,33,5.80UK,KRK,,,5.80KRK
EUR,1924,2,19,6,59,55,39,47.8,50,5.80UK,KRK,,,5.80KRK
EUR,1924,2,27,20,24,20,33,36,33,5.80UK,KRK,,,5.80KRK
EUR,1924,9,13,14,34,5,40,42,33,6.90UK,KRK,,,6.90KRK
EUR,1925,2,8,,,,41.1,42.7,33,5.50UK,KRK,,,5.50KRK
EUR,1925,7,6,12,15,55,38.25,21.75,125,6.90UK,TRI,,,6.90TRI
EUR,1926,3,1,20,1,,36.8,30,120,6.40UK,KRK,,,6.40KRK
EUR,1926,3,16,17,53,,37.5,29,15,6.30UK,KRK,,,6.30KRK
EUR,1926,3,17,13,20,,37,35,33,5.50UK,KRK,,,5.50KRK
EUR,1926,6,10,19,16,,39.8,20,120,6.20UK,KRK,,,6.20KRK
EUR,1926,8,30,11,38,12,37.5,23,100,7.40Ms,TRI,,,7.40TRI
EUR,1926,9,19,1,3,57,36,22,80,6.70UK,KRK,,,6.70KRK
EUR,1927,2,14,3,43,21,43,18,50,6.20UK,KRK,,,6.20KRK
EUR,1927,7,1,8,19,4,36.75,22.75,125,7.30Ms,TRI,,,7.30TRI
EUR,1929,3,27,7,41,46,36.7,26.5,120,6.20UK,KRK,,,6.20KRK
EUR,1929,5,25,6,46,,39,37.5,33,5.50UK,KRK,,,5.50KRK
EUR,1929,11,11,7,36,,36.8,26.5,100,5.70UK,KRK,,,5.70KRK
EUR,1930,1,28,6,25,,40.5,20.7,33,5.60UK,KRK,,,5.60KRK
EUR,1930,2,14,18,38,20,35.75,24.75,125,6.80UK,TRI,,,6.80TRI
EUR,1930,8,22,0,44,,36.2,27.5,120,5.50UK,KRK,,,5.50KRK
EUR,1931,1,28,,,,38.3,31.4,,6.80UK,KRK,,,6.80KRK
EUR,1931,4,9,,,,38.3,31.7,,6.00UK,KRK,,,6.00KRK
EUR,1931,4,27,,,,38.7,46.2,33,6.50UK,KRK,,,6.50KRK
EUR,1931,6,5,8,24,,36.5,31,120,6.20UK,KRK,,,6.20KRK
EUR,1932,8,15,4,34,42,39.25,22,100,6.10Ms,TRI,,,6.10TRI
